what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1408984689379
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1408984689383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408984691828
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1408984697023
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1408984697051
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1408984697089
started,bundle,com.coverity.desktop.model,7.0.2.2819-98,"com.coverity.desktop.model",1408984697193
started,bundle,com.coverity.desktop.analysis,7.0.2.2819-98,"com.coverity.desktop.analysis",1408984697199
started,bundle,com.coverity.desktop.cpp,7.0.2.2819-98,"com.coverity.desktop.cpp",1408984697207
started,bundle,com.coverity.desktop.java,7.0.2.2819-98,"com.coverity.desktop.java",1408984697210
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1408984697216
started,bundle,com.coverity.desktop.ui,7.0.2.2819-98,"com.coverity.desktop.ui",1408984697302
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1408984697325
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1408984697329
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1408984697438
